x,y,layer1,layer2,voltage1,voltage2,current
89.6365,56.0321,TOP_LAYER,INNER_1,25.1246,25.1246,-0.000106811
89.6365,56.0321,INNER_1,INNER_2,25.1246,25.1246,-0.000106811
89.6365,56.0321,INNER_2,BOTTOM_LAYER,25.1246,25.1246,-0.000106811
89.6365,174.142,TOP_LAYER,INNER_1,25.1251,25.1251,-8.1005e-05
89.6365,174.142,INNER_1,INNER_2,25.1251,25.1251,-8.1005e-05
89.6365,174.142,INNER_2,BOTTOM_LAYER,25.1251,25.1251,-8.10049e-05
89.6365,292.253,TOP_LAYER,INNER_1,25.1257,25.1257,-6.60804e-05
89.6365,292.253,INNER_1,INNER_2,25.1257,25.1257,-6.60804e-05
89.6365,292.253,INNER_2,BOTTOM_LAYER,25.1257,25.1257,-6.60804e-05
89.6365,410.363,TOP_LAYER,INNER_1,25.1267,25.1267,-3.53783e-05
89.6365,410.363,INNER_1,INNER_2,25.1267,25.1267,-3.53783e-05
89.6365,410.363,INNER_2,BOTTOM_LAYER,25.1267,25.1267,-3.53783e-05
89.6365,528.473,TOP_LAYER,INNER_1,25.128,25.128,-1.51208e-05
89.6365,528.473,INNER_1,INNER_2,25.128,25.128,-1.51208e-05
89.6365,528.473,INNER_2,BOTTOM_LAYER,25.128,25.128,-1.51208e-05
89.6365,646.583,TOP_LAYER,INNER_1,25.1296,25.1296,-5.42024e-06
89.6365,646.583,INNER_1,INNER_2,25.1296,25.1296,-5.42029e-06
89.6365,646.583,INNER_2,BOTTOM_LAYER,25.1296,25.1296,-5.4203e-06
89.6365,764.693,TOP_LAYER,INNER_1,25.1314,25.1314,-1.65651e-06
89.6365,764.693,INNER_1,INNER_2,25.1314,25.1314,-1.65656e-06
89.6365,764.693,INNER_2,BOTTOM_LAYER,25.1314,25.1314,-1.65651e-06
89.6365,882.804,TOP_LAYER,INNER_1,25.1332,25.1332,-4.41416e-07
89.6365,882.804,INNER_1,INNER_2,25.1332,25.1332,-4.41461e-07
89.6365,882.804,INNER_2,BOTTOM_LAYER,25.1332,25.1332,-4.41479e-07
89.6365,1000.91,TOP_LAYER,INNER_1,25.1351,25.1351,-1.0618e-07
89.6365,1000.91,INNER_1,INNER_2,25.1351,25.1351,-1.06191e-07
89.6365,1000.91,INNER_2,BOTTOM_LAYER,25.1351,25.1351,-1.06117e-07
89.6365,1119.02,TOP_LAYER,INNER_1,25.1371,25.1371,-2.30826e-08
89.6365,1119.02,INNER_1,INNER_2,25.1371,25.1371,-2.30624e-08
89.6365,1119.02,INNER_2,BOTTOM_LAYER,25.1371,25.1371,-2.30826e-08
89.6365,1237.13,TOP_LAYER,INNER_1,25.1391,25.1391,-3.7944e-10
89.6365,1237.13,INNER_1,INNER_2,25.1391,25.1391,-4.38186e-10
89.6365,1237.13,INNER_2,BOTTOM_LAYER,25.1391,25.1391,-3.7944e-10
89.6365,1355.24,TOP_LAYER,INNER_1,25.141,25.141,2.26399e-08
89.6365,1355.24,INNER_1,INNER_2,25.141,25.141,2.26127e-08
89.6365,1355.24,INNER_2,BOTTOM_LAYER,25.141,25.141,2.25767e-08
89.6365,1473.35,TOP_LAYER,INNER_1,25.143,25.143,1.15856e-07
89.6365,1473.35,INNER_1,INNER_2,25.143,25.143,1.1582e-07
89.6365,1473.35,INNER_2,BOTTOM_LAYER,25.143,25.143,1.15856e-07
89.6365,1591.46,TOP_LAYER,INNER_1,25.145,25.145,5.61192e-07
89.6365,1591.46,INNER_1,INNER_2,25.145,25.145,5.61247e-07
89.6365,1591.46,INNER_2,BOTTOM_LAYER,25.145,25.145,5.61255e-07
89.6365,1709.57,TOP_LAYER,INNER_1,25.1469,25.1469,2.6614e-06
89.6365,1709.57,INNER_1,INNER_2,25.1469,25.1469,2.66135e-06
89.6365,1709.57,INNER_2,BOTTOM_LAYER,25.1469,25.1469,2.6614e-06
89.6365,1827.69,TOP_LAYER,INNER_1,25.1488,25.1488,1.22601e-05
89.6365,1827.69,INNER_1,INNER_2,25.1488,25.1488,1.22601e-05
89.6365,1827.69,INNER_2,BOTTOM_LAYER,25.1488,25.1488,1.22601e-05
89.6365,1945.8,TOP_LAYER,INNER_1,25.1506,25.1506,5.45112e-05
89.6365,1945.8,INNER_1,INNER_2,25.1506,25.1506,5.45111e-05
89.6365,1945.8,INNER_2,BOTTOM_LAYER,25.1506,25.1506,5.45112e-05
89.6365,2063.91,TOP_LAYER,INNER_1,25.1523,25.1523,0.000233977
89.6365,2063.91,INNER_1,INNER_2,25.1523,25.1523,0.000233977
89.6365,2063.91,INNER_2,BOTTOM_LAYER,25.1523,25.1523,0.000233977
89.6365,2182.02,TOP_LAYER,INNER_1,25.1538,25.1538,0.000815339
89.6365,2182.02,INNER_1,INNER_2,25.1538,25.1538,0.000815339
89.6365,2182.02,INNER_2,BOTTOM_LAYER,25.1538,25.1538,0.000815339
89.6365,2300.13,TOP_LAYER,INNER_1,25.155,25.155,0.00221751
89.6365,2300.13,INNER_1,INNER_2,25.155,25.155,0.00221751
89.6365,2300.13,INNER_2,BOTTOM_LAYER,25.155,25.155,0.00221751
89.6365,2418.24,TOP_LAYER,INNER_1,25.1559,25.1559,0.00420559
89.6365,2418.24,INNER_1,INNER_2,25.1559,25.1559,0.00420559
89.6365,2418.24,INNER_2,BOTTOM_LAYER,25.1559,25.1559,0.00420559
89.6365,2536.35,TOP_LAYER,INNER_1,25.1564,25.1564,0.00555856
89.6365,2536.35,INNER_1,INNER_2,25.1564,25.1564,0.00555856
89.6365,2536.35,INNER_2,BOTTOM_LAYER,25.1564,25.1564,0.00555856
89.6365,2654.46,TOP_LAYER,INNER_1,25.1567,25.1567,0.00849401
89.6365,2654.46,INNER_1,INNER_2,25.1567,25.1567,0.00849401
