vrefdes,vpin,refdes,pin
VCOMP0,0,U22,6
VCOMP0,1,U22,7
VCOMP0,2,U22,8
VCOMP0,3,U22,9
VCOMP0,4,U22,10
VCOMP0,5,U22,1
VCOMP1,0,J8,2
VCOMP1,1,J8,1
VCOMP2,0,U24,6
VCOMP2,1,U24,7
VCOMP2,2,U24,8
VCOMP2,3,U24,9
VCOMP2,4,U24,10
VCOMP2,5,U24,1
VCOMP3,0,J13,2
VCOMP3,1,J13,1
VCOMP4,0,U20,6
VCOMP4,1,U20,7
VCOMP4,2,U20,8
VCOMP4,3,U20,9
VCOMP4,4,U20,10
VCOMP4,5,U20,1
VCOMP5,0,J16,2
VCOMP5,1,J16,1
VCOMP6,0,U18,10
VCOMP6,1,U18,9
VCOMP6,2,U18,8
VCOMP6,3,U18,7
VCOMP6,4,U18,6
VCOMP6,5,U18,1
VCOMP7,0,J20,3
VCOMP7,1,J20,1
VCOMP8,0,R33,2
VCOMP8,1,U11,21
VCOMP8,2,U11,10
VCOMP8,3,U11,15
VCOMP8,4,U11,13
VCOMP8,5,U11,11
VCOMP9,0,J7,2
VCOMP9,1,J7,1
VCOMP10,0,J11,2
VCOMP10,1,J11,1
VCOMP11,0,J1,2
VCOMP11,1,J1,1
VCOMP12,0,Q1,D
VCOMP12,1,J1,1
VCOMP13,0,J17,2
VCOMP13,1,J17,1
VCOMP14,0,J18,2
VCOMP14,1,J18,1
VCOMP15,0,Q2,D
VCOMP15,1,J1,1
VCOMP16,0,U8,1
VCOMP16,1,U8,2
VCOMP16,2,U8,3
VCOMP16,3,U8,21
VCOMP16,4,U8,10
VCOMP16,5,U8,15
VCOMP16,6,U8,13
VCOMP16,7,U8,11
VCOMP17,0,U6,31
VCOMP17,1,U6,27
VCOMP17,2,U6,19
VCOMP17,3,U6,18
VCOMP17,4,U6,17
VCOMP17,5,U6,16
VCOMP17,6,U6,15
VCOMP17,7,U6,14
VCOMP17,8,U6,13
VCOMP17,9,U6,31_3
VCOMP17,10,U6,31_2
VCOMP17,11,U6,31_1
VCOMP17,12,U6,29
VCOMP17,13,U6,23
VCOMP17,14,U6,21
VCOMP17,15,U6,8
VCOMP17,16,U6,7
VCOMP17,17,U6,6
VCOMP17,18,U6,5
VCOMP17,19,U6,2
VCOMP17,20,U6,29_8
VCOMP17,21,U6,29_7
VCOMP17,22,U6,29_6
VCOMP17,23,U6,29_5
VCOMP17,24,U6,29_4
VCOMP17,25,U6,29_3
VCOMP17,26,U6,29_2
VCOMP17,27,U6,29_1
VCOMP18,0,Q3,D
VCOMP18,1,J1,1
VCOMP19,0,Q4,D
VCOMP19,1,J1,1
VCOMP20,0,U11,1
VCOMP20,1,U11,2
VCOMP20,2,U11,3
VCOMP20,3,U11,21
VCOMP20,4,U11,10
VCOMP20,5,U11,15
VCOMP20,6,U11,13
VCOMP20,7,U11,11
VCOMP21,0,R19,2
VCOMP21,1,U8,21
VCOMP21,2,U8,10
VCOMP21,3,U8,15
VCOMP21,4,U8,13
VCOMP21,5,U8,11
VCOMP22,0,U22,11
VCOMP22,1,U22,1
VCOMP23,0,U24,11
VCOMP23,1,U24,1
VCOMP24,0,U18,11
VCOMP24,1,U18,1
VCOMP25,0,U20,11
VCOMP25,1,U20,1
VCOMP26,0,R7,2
VCOMP26,1,J6,1
VCOMP27,0,J6,2
VCOMP27,1,J6,1
VCOMP28,0,R9,2
VCOMP28,1,J12,1
VCOMP29,0,J12,2
VCOMP29,1,J12,1
VCOMP30,0,F2,2
VCOMP30,1,F2,1
VCOMP30,2,U5,6
VCOMP30,3,U5,7
VCOMP30,4,U5,4
VCOMP31,0,R9,1
VCOMP31,1,U5,6
VCOMP31,2,U5,7
VCOMP31,3,U5,4
VCOMP32,0,F1,1
VCOMP32,1,F1,2
VCOMP32,2,U3,6
VCOMP32,3,U3,7
VCOMP32,4,U3,4
VCOMP33,0,R7,1
VCOMP33,1,U3,6
VCOMP33,2,U3,7
VCOMP33,3,U3,4
VCOMP34,0,Q3,S
VCOMP34,1,J1,1
VCOMP35,0,F1,4
VCOMP35,1,F1,3
VCOMP35,2,J1,1
VCOMP36,0,Q4,S
VCOMP36,1,J1,1
VCOMP37,0,F2,3
VCOMP37,1,F2,4
VCOMP37,2,J1,1
