refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,12.0151,0.1,0
VCOMP0,VCOMP0-1,12.0151,0.1,0
VCOMP0,VCOMP0-2,12.0151,0.1,0
VCOMP0,VCOMP0-3,12.0151,0.1,0
VCOMP0,VCOMP0-4,12.0151,0.1,0
VCOMP0,VCOMP0-5,0.0155973,-0.5,0
VCOMP2,VCOMP2-0,12.0151,0.1,0
VCOMP2,VCOMP2-1,12.0151,0.1,0
VCOMP2,VCOMP2-2,12.0151,0.1,0
VCOMP2,VCOMP2-3,12.0151,0.1,0
VCOMP2,VCOMP2-4,12.0151,0.1,0
VCOMP2,VCOMP2-5,0.0155815,-0.5,0
VCOMP4,VCOMP4-0,12.0133,0.2,0
VCOMP4,VCOMP4-1,12.0133,0.2,0
VCOMP4,VCOMP4-2,12.0133,0.2,0
VCOMP4,VCOMP4-3,12.0133,0.2,0
VCOMP4,VCOMP4-4,12.0133,0.2,0
VCOMP4,VCOMP4-5,0.0142922,-1,0
VCOMP6,VCOMP6-0,12.0133,0.2,0
VCOMP6,VCOMP6-1,12.0133,0.2,0
VCOMP6,VCOMP6-2,12.0133,0.2,0
VCOMP6,VCOMP6-3,12.0133,0.2,0
VCOMP6,VCOMP6-4,12.0133,0.2,0
VCOMP6,VCOMP6-5,0.0143337,-1,0
VCOMP8,VCOMP8-0,7.40636,6,0
VCOMP8,VCOMP8-1,0.0123648,-1.2,0
VCOMP8,VCOMP8-2,0.0123648,-1.2,0
VCOMP8,VCOMP8-3,0.0123648,-1.2,0
VCOMP8,VCOMP8-4,0.0123648,-1.2,0
VCOMP8,VCOMP8-5,0.0123648,-1.2,0
VCOMP11,VCOMP11-0,25.068,132,0
VCOMP11,VCOMP11-1,0,-132,0
VCOMP15,VCOMP15-0,25.083,117,0
VCOMP15,VCOMP15-1,0,-117,0
VCOMP21,VCOMP21-0,12.0106,3,0
VCOMP21,VCOMP21-1,0.013615,-0.6,0
VCOMP21,VCOMP21-2,0.013615,-0.6,0
VCOMP21,VCOMP21-3,0.013615,-0.6,0
VCOMP21,VCOMP21-4,0.013615,-0.6,0
VCOMP21,VCOMP21-5,0.013615,-0.6,0
VCOMP26,VCOMP26-0,25.1658,50,0
VCOMP26,VCOMP26-1,0.0158017,-50,0
VCOMP28,VCOMP28-0,25.1658,50,0
VCOMP28,VCOMP28-1,0.0157825,-50,0
VCOMP30,VCOMP30-0,25.1664,25,0
VCOMP30,VCOMP30-1,25.1664,25,0
VCOMP30,VCOMP30-2,0.0164264,-16.6667,0
VCOMP30,VCOMP30-3,0.0164264,-16.6667,0
VCOMP30,VCOMP30-4,0.0164264,-16.6667,0
VCOMP32,VCOMP32-0,25.1661,25,0
VCOMP32,VCOMP32-1,25.1661,25,0
VCOMP32,VCOMP32-2,0.0160715,-16.6667,0
VCOMP32,VCOMP32-3,0.0160715,-16.6667,0
VCOMP32,VCOMP32-4,0.0160715,-16.6667,0
VCOMP34,VCOMP34-0,25.15,50,0
VCOMP34,VCOMP34-1,0,-50,0
VCOMP36,VCOMP36-0,25.15,50,0
VCOMP36,VCOMP36-1,0,-50,0
VCOMP38,VCOMP38-0,5.003,0.769231,0
VCOMP38,VCOMP38-1,5.003,0.769231,0
VCOMP38,VCOMP38-2,5.003,0.769231,0
VCOMP38,VCOMP38-3,5.003,0.769231,0
VCOMP38,VCOMP38-4,5.003,0.769231,0
VCOMP38,VCOMP38-5,5.003,0.769231,0
VCOMP38,VCOMP38-6,5.003,0.769231,0
VCOMP38,VCOMP38-7,5.003,0.769231,0
VCOMP38,VCOMP38-8,5.003,0.769231,0
VCOMP38,VCOMP38-9,5.003,0.769231,0
